POSTE;DATE;RR;DRR;TN;TX;TM;FFM;DXY;UM
13054001;20081111;0,2;59;13,6;18,0;15,9;4,0;120;81
13054001;20081112;1,8;376;10,8;12,8;11,4;3,9;340;88
13054001;20081113;0,0;0;5,3;14,0;9,3;6,3;340;74
13054001;20081114;0,0;0;4,1;14,5;8,4;3,4;310;76
13054001;20081115;0,0;0;3,0;14,8;8,0;2,3;280;80
13054001;20081116;0,0;0;2,4;15,8;7,9;2,3;320;81
13054001;20081117;0,0;0;4,2;17,3;10,4;3,4;330;76
13054001;20081118;0,0;0;5,2;13,7;8,4;1,9;300;82
13054001;20081119;0,0;0;3,4;14,8;7,9;2,1;310;81
13054001;20081120;0,0;0;2,2;13,9;8,5;5,7;300;76
13054001;20081121;0,0;0;9,5;16,0;12,7;10,0;330;67
13054001;20081122;0,0;0;6,5;10,3;8,3;13,5;330;54
13054001;20081123;10,4;340;4,0;12,4;6,3;9,1;310;53
13054001;20081124;0,0;0;3,3;10,6;6,5;2,9;210;83
13054001;20081125;0,0;0;-0,5;10,4;4,0;4,1;330;79
13054001;20081126;0,0;0;-1,7;9,9;3,1;3,1;320;75
13054001;20081127;15,2;283;-2,0;13,4;6,0;2,6;70;67
13054001;20081128;0,0;114;4,5;7,0;5,4;3,1;20;88
13054001;20081129;30,4;309;0,9;13,4;8,6;5,3;140;81
13054001;20081130;0,0;0;7,1;14,4;10,9;5,8;170;63
13054001;20081201;0,0;0;3,5;11,2;6,7;2,7;290;77
13054001;20081202;0,0;0;0,0;10,4;5,3;6,0;320;69
13054001;20081203;0,4;130;-0,5;8,0;5,3;2,6;300;70
13054001;20081204;1,0;181;2,4;13,9;8,6;2,6;220;76
13054001;20081205;0,2;65;10,9;13,7;11,7;6,4;250;72
13054001;20081206;0,0;0;4,5;12,9;8,4;3,6;260;77
13054001;20081207;0,0;0;0,6;11,4;5,7;2,8;310;77
13054001;20081208;0,0;0;1,5;12,4;7,1;1,9;70;68
13054001;20081209;39,2;1175;6,2;10,6;9,0;5,3;70;76
13054001;20081210;1,4;296;3,6;5,2;4,4;7,7;340;85
13054001;20081211;0,0;0;2,9;5,8;4,1;9,4;320;75
13054001;20081212;0,0;0;3,0;6,4;3,8;9,6;330;67
13054001;20081213;5,2;262;-2,9;12,8;5,7;4,8;120;75
13054001;20081214;47,2;890;6,9;11,6;9,0;6,9;130;85
13054001;20081215;9,2;990;5,9;7,6;6,6;2,3;350;92
13054001;20081216;4,2;527;4,5;6,2;5,1;1,8;320;93
13054001;20081217;0,0;0;3,0;7,0;4,4;5,6;330;81
13054001;20081218;0,0;0;3,2;8,5;6,1;9,8;330;70
13054001;20081219;0,0;0;5,4;12,4;9,3;11,5;320;65
13054001;20081220;0,0;0;7,9;12,3;10,0;9,7;330;62
13054001;20081221;0,0;0;9,9;15,0;11,2;7,6;330;67
13054001;20081222;0,0;0;1,9;14,4;6,6;1,7;350;77
13054001;20081223;0,0;0;0,1;13,3;4,2;1,1;140;85
13054001;20081224;0,0;0;-0,4;11,0;5,9;0,9;140;87
13054001;20081225;0,4;168;2,9;9,0;5,9;3,7;310;84
13054001;20081226;0,6;209;4,6;10,1;7,8;5,3;70;58
13054001;20081227;0,0;0;7,3;10,6;8,6;4,4;100;50
13054001;20081228;0,0;0;3,1;10,4;5,0;2,4;90;56
13054001;20081229;0,2;182;-0,5;12,1;7,1;3,7;110;58
13054001;20081230;0,0;0;8,5;14,2;11,7;7,0;110;63
13054001;20081231;0,0;0;9,5;13,5;11,1;5,7;120;68
13054001;20090101;0,0;0;7,3;12,0;9,5;1,9;70;80
13054001;20090102;0,0;0;4,9;9,6;6,2;2,3;320;80
13054001;20090103;0,0;15;-1,1;8,0;3,4;1,3;360;83
13054001;20090104;0,0;0;-1,5;8,9;2,0;2,0;350;80
13054001;20090105;0,0;0;-3,9;7,0;0,5;3,3;290;68
13054001;20090106;10,6;424;-2,7;3,1;0,4;3,0;330;71
13054001;20090107;26,6;596;-1,3;0,0;-0,3;3,7;310;95
13054001;20090108;0,2;36;-0,9;5,6;1,4;0,9;140;91
13054001;20090109;0,0;53;0,6;6,8;3,4;1,4;210;89
13054001;20090110;0,0;0;0,4;9,9;3,9;1,3;130;86
13054001;20090111;0,0;0;-2,1;10,7;2,3;1,3;130;83
13054001;20090112;0,0;0;-2,6;11,8;2,4;1,0;120;83
13054001;20090113;0,0;0;-2,4;11,6;3,0;0,8;130;80
13054001;20090114;0,0;0;-1,8;9,9;4,9;7,6;310;73
13054001;20090115;0,0;0;0,8;12,2;5,2;2,4;330;72
13054001;20090116;0,0;0;-0,1;13,0;4,6;1,0;130;79
13054001;20090117;0,0;0;2,0;12,6;7,2;1,3;130;79
13054001;20090118;0,0;13;3,3;13,1;9,0;1,9;180;85
13054001;20090119;1,4;581;7,6;15,3;11,7;4,7;130;81
13054001;20090120;0,0;0;5,3;10,8;7,2;3,8;310;81
13054001;20090121;0,0;0;-0,2;10,4;4,9;4,9;310;72
13054001;20090122;6,4;507;1,4;8,0;5,4;2,9;280;72
13054001;20090123;7,2;420;5,3;12,0;7,5;2,8;110;91
13054001;20090124;2,0;262;6,3;10,9;8,1;8,2;320;74
13054001;20090125;13,8;260;4,5;13,2;8,0;6,6;300;61
13054001;20090126;11,0;768;5,4;7,5;6,8;6,0;330;86
13054001;20090127;0,0;0;6,0;10,2;7,2;10,8;330;68
13054001;20090128;0,0;0;3,7;9,4;4,9;5,8;330;66
13054001;20090129;0,0;0;-1,9;12,5;3,5;1,9;270;76
13054001;20090130;0,0;0;-2,4;14,4;5,4;2,0;140;78
13054001;20090131;0,0;15;5,9;12,8;9,4;4,0;130;72
13054001;20090201;10,8;501;9,1;12,0;9,8;6,2;90;66
13054001;20090202;9,6;1110;8,3;12,0;9,8;7,4;110;81
13054001;20090203;5,4;494;9,6;14,8;11,1;4,7;120;77
13054001;20090204;0,0;0;7,3;14,9;11,3;5,5;140;80
13054001;20090205;6,6;244;11,1;14,5;13,0;7,2;140;80
13054001;20090206;5,0;264;12,4;15,3;12,4;5,6;150;81
